# This file is a source file for dutycycle quantities
#
# FORMAT
# key: A string key
# latex_key (optional): A latex-macro friendly key. If empty, a key will be generated
# quantity: the numerical value
# unit: the units
# reviewed [Yes, No]: if the value has been reviewed
#
# USAGE
# To read the csv file in with pandas, you can use:
# df = pd.read_csv("dutycycle_quantities.csv", header=0, comment="#", skipinitialspace=True)

# Column names
key, latex_key, value, unit, reviewed


o1_duration, OoneDuration, 129.66666666666666, day, Yes
o1_duration_any_one, OoneDurationAnyOne, 93.50532407407407, day, Yes
o1_duration_any_one_fraction, OoneDurationAnyOneFraction, 72.11207512139389, percent, Yes
o1_duration_any_two, OoneDurationAnyTwo, 49.004895833333336, day, Yes
o1_duration_any_two_fraction, OoneDurationAnyTwoFraction, 37.79297879177378, percent, Yes
o1_duration_h_any, OoneDurationHAny, 76.70094907407407, day, Yes
o1_duration_h_any_fraction, OoneDurationHAnyFraction, 59.15240288489003, percent, Yes
o1_duration_l_any, OoneDurationLAny, 65.80927083333333, day, Yes
o1_duration_l_any_fraction, OoneDurationLAnyFraction, 50.75265102827763, percent, Yes
o1_duration_none, OoneDurationNone, 36.16134259259259, day, Yes
o1_duration_none_fraction, OoneDurationNoneFraction, 27.887924878606114, percent, Yes
o1_duration_h, OoneDurationH, 27.696053240740742, day, Yes
o1_duration_h_fraction, OoneDurationHFraction, 21.359424093116253, percent, Yes
o1_duration_l, OoneDurationL, 16.804375, day, Yes
o1_duration_l_fraction, OoneDurationLFraction, 12.959672236503856, percent, Yes
o1_duration_hl, OoneDurationHL, 49.004895833333336, day, Yes
o1_duration_hl_fraction, OoneDurationHLFraction, 37.79297879177378, percent, Yes

o2_duration, OtwoDuration, 268.25001157407405, day, Yes
o2_duration_any_one, OtwoDurationAnyOne, 195.1741898148148, day, Yes
o2_duration_any_one_fraction, OtwoDurationAnyOneFraction, 72.75831552421751, percent, Yes
o2_duration_any_two, OtwoDurationAnyTwo, 122.19149305555555, day, Yes
o2_duration_any_two_fraction, OtwoDurationAnyTwoFraction, 45.551346797170154, percent, Yes
o2_duration_h_any, OtwoDurationHAny, 157.80545138888888, day, Yes
o2_duration_h_any_fraction, OtwoDurationHAnyFraction, 58.82775194039937, percent, Yes
o2_duration_l_any, OtwoDurationLAny, 153.96292824074075, day, Yes
o2_duration_l_any_fraction, OtwoDurationLAnyFraction, 57.395310940452916, percent, Yes
o2_duration_v_any, OtwoDurationVAny, 20.849525462962962, day, Yes
o2_duration_v_any_fraction, OtwoDurationVAnyFraction, 7.772422950000736, percent, Yes
o2_duration_none, OtwoDurationNone, 73.07582175925926, day, Yes
o2_duration_none_fraction, OtwoDurationNoneFraction, 27.241684475782485, percent, Yes
o2_duration_h, OtwoDurationH, 37.82396990740741, day, Yes
o2_duration_h_fraction, OtwoDurationHFraction, 14.100267763441556, percent, Yes
o2_duration_l, OtwoDurationL, 33.490462962962965, day, Yes
o2_duration_l_fraction, OtwoDurationLFraction, 12.48479460129118, percent, Yes
o2_duration_v, OtwoDurationV, 1.668263888888889, day, Yes
o2_duration_v_fraction, OtwoDurationVFraction, 0.6219063623146266, percent, Yes
o2_duration_hl, OtwoDurationHL, 103.01023148148148, day, Yes
