# This file is a source file for vt quantities
#
# FORMAT
# key: A string key
# latex_key (optional): A latex-macro friendly key. If empty, a key will be generated
# quantity: the numerical value
# unit: the units
# reviewed [Yes, No]: if the value has been reviewed
#
# USAGE
# To read the csv file in with pandas, you can use:
# df = pd.read_csv("vt_quantities.csv", header=0, comment="#", skipinitialspace=True)

# Column names
key, latex_key, value, unit, reviewed

o1_vt_total, OoneVTTotal, 1.588786e-04, GpcCubedYear, Yes
o1_vt_hl, OoneVTHL, 1.588786e-04, GpcCubedYear, Yes
o1_vt_hl_fraction, OoneVTHLFraction, 100.0, percent, Yes
o2_vt_total, OtwoVTTotal, 3.518480e-04, GpcCubedYear, Yes
o2_vt_hl, OtwoVTHL, 3.268875e-04, GpcCubedYear, Yes
o2_vt_hl_fraction, OtwoVTHLFraction, 92.9058884771241, percent, Yes
o2_vt_hv, OtwoVTHV, 3.624116e-07, GpcCubedYear, Yes
o2_vt_hv_fraction, OtwoVTHVFraction, 0.10300231249792227, percent, Yes
o2_vt_lv, OtwoVTLV, 4.801174e-07, GpcCubedYear, Yes
o2_vt_lv_fraction, OtwoVTLVFraction, 0.13645592269776868, percent, Yes
o2_vt_hlv, OtwoVTHLV, 2.411796e-05, GpcCubedYear, Yes
o2_vt_hlv_fraction, OtwoVTHLVFraction, 6.854653287680193, percent, Yes
o2v_vt_total, OtwoVVTTotal, 2.782653e-05, GpcCubedYear, Yes
o2v_vt_hl, OtwoVVTHL, 2.866040e-06, GpcCubedYear, Yes
o2v_vt_hl_fraction, OtwoVVTHLFraction, 10.299667174341284, percent, Yes
o2v_vt_hv, OtwoVVTHV, 3.624116e-07, GpcCubedYear, Yes
o2v_vt_hv_fraction, OtwoVVTHVFraction, 1.3023958931407658, percent, Yes
o2v_vt_lv, OtwoVVTLV, 4.801174e-07, GpcCubedYear, Yes
o2v_vt_lv_fraction, OtwoVVTLVFraction, 1.7253945955814596, percent, Yes
o2v_vt_hlv, OtwoVVTHLV, 2.411796e-05, GpcCubedYear, Yes
o2v_vt_hlv_fraction, OtwoVVTHLVFraction, 86.6725423369365, percent, Yes
o3_vt_total, OthreeVTTotal, 3.207126e-03, GpcCubedYear, Yes
o3_vt_h, OthreeVTH, 4.473158e-05, GpcCubedYear, Yes
o3_vt_h_fraction, OthreeVTHFraction, 1.3947559911194556, percent, Yes
o3_vt_l, OthreeVTL, 7.468101e-05, GpcCubedYear, Yes
o3_vt_l_fraction, OthreeVTLFraction, 2.328595888036877, percent, Yes
o3_vt_v, OthreeVTV, 9.715321e-06, GpcCubedYear, Yes
o3_vt_v_fraction, OthreeVTVFraction, 0.30292917960082977, percent, Yes
o3_vt_hl, OthreeVTHL, 7.203780e-04, GpcCubedYear, Yes
o3_vt_hl_fraction, OthreeVTHLFraction, 22.46179350156841, percent, Yes
o3_vt_hv, OthreeVTHV, 4.094091e-05, GpcCubedYear, Yes
o3_vt_hv_fraction, OthreeVTHVFraction, 1.2765607456797292, percent, Yes
