# event,pe_label
GW230601_224134,C00:NRSur7dq4
GW230605_065343,C00:Mixed
GW230606_004305,C00:NRSur7dq4
GW230608_205047,C00:NRSur7dq4
GW230609_064958,C00:NRSur7dq4
GW230624_113103,C00:Mixed
GW230627_015337,C00:Mixed
GW230628_231200,C00:NRSur7dq4
GW230630_125806,C00:NRSur7dq4
GW230630_234532,C00:Mixed
GW230702_185453,C00:NRSur7dq4
GW230704_021211,C00:NRSur7dq4
GW230704_212616,C00:Mixed
GW230706_104333,C00:Mixed
GW230707_124047,C00:NRSur7dq4
GW230708_053705,C00:NRSur7dq4
GW230708_230935,C00:NRSur7dq4
GW230709_122727,C00:NRSur7dq4
GW230712_090405,C00:Mixed
GW230723_101834,C00:Mixed
GW230726_002940,C00:NRSur7dq4
GW230729_082317,C00:Mixed
GW230731_215307,C00:Mixed
GW230803_033412,C00:Mixed
GW230805_034249,C00:NRSur7dq4
GW230806_204041,C00:NRSur7dq4
GW230811_032116,C00:Mixed
GW230814_061920,C00:NRSur7dq4
GW230814_230901,C00:NRSur7dq4
GW230819_171910,C00:Mixed
GW230820_212515,C00:Mixed
GW230824_033047,C00:NRSur7dq4
GW230825_041334,C00:NRSur7dq4
GW230831_015414,C00:Mixed
GW230904_051013,C00:Mixed
GW230911_195324,C00:Mixed
GW230914_111401,C00:NRSur7dq4
GW230919_215712,C00:Mixed
GW230920_071124,C00:NRSur7dq4
GW230922_020344,C00:NRSur7dq4
GW230922_040658,C00:NRSur7dq4
GW230924_124453,C00:NRSur7dq4
GW230927_043729,C00:NRSur7dq4
GW230927_153832,C00:Mixed
GW230928_215827,C00:NRSur7dq4
GW230930_110730,C00:NRSur7dq4
GW231001_140220,C00:Mixed
GW231004_232346,C00:Mixed
GW231005_021030,C00:Mixed
GW231005_091549,C00:NRSur7dq4
GW231008_142521,C00:NRSur7dq4
GW231014_040532,C00:Mixed
GW231018_233037,C00:Mixed
GW231020_142947,C00:Mixed
GW231028_153006,C00:NRSur7dq4
GW231029_111508,C00:NRSur7dq4
GW231102_071736,C00:NRSur7dq4
GW231104_133418,C00:Mixed
GW231108_125142,C00:Mixed
GW231110_040320,C00:Mixed
GW231113_122623,C00:Mixed
GW231113_200417,C00:Mixed
GW231114_043211,C00:Mixed
GW231118_005626,C00:Mixed
GW231118_071402,C00:NRSur7dq4
GW231118_090602,C00:Mixed
GW231119_075248,C00:NRSur7dq4
GW231123_135430,C00:NRSur7dq4
GW231127_165300,C00:NRSur7dq4
GW231129_081745,C00:NRSur7dq4
GW231206_233134,C00:NRSur7dq4
GW231206_233901,C00:NRSur7dq4
GW231213_111417,C00:NRSur7dq4
GW231221_135041,C00:Mixed
GW231223_032836,C00:NRSur7dq4
GW231223_075055,C00:Mixed
GW231223_202619,C00:Mixed
GW231224_024321,C00:Mixed
GW231226_101520,C00:NRSur7dq4
GW231230_170116,C00:Mixed
GW231231_154016,C00:Mixed
GW240104_164932,C00:NRSur7dq4
GW240107_013215,C00:Mixed
GW240109_050431,C00:Mixed
